Persona Name,Age,Income Source,Annual Income Range,Family Size,Relationship Status,Key Financial Goals,Lifestyle Factors
Priya,28,Business Owner,$15k-$30k,4,Married w/ Kids,Tax Saving,"Smoker, high stress job"
Mr. Dutta,55,Salaried,$15k-$30k,1,Widowed,Retirement Savings,"Sedentary lifestyle, chronic illness"
Sunita,57,Salaried,$50k-$75k,4,Married w/ Spouse,Tax Saving,"Owns a car, travels frequently"
Sunita,50,Salaried,$75k-$100k,3,Married w/ Kids,Wealth Creation,"Owns property, no liabilities"
Sneha,57,Self-Employed,$30k-$50k,1,Divorced,Tax Saving,"Smoker, high stress job"
Sunita,53,Self-Employed,$100k+,3,Divorced,Retirement Savings,"Sedentary lifestyle, chronic illness"
Rahul,49,Salaried,$75k-$100k,3,Married w/ Kids,Wealth Creation,"Pet owner, active lifestyle"
Sunita,37,Self-Employed,$30k-$50k,1,Divorced,Wealth Creation,Works night shifts
Mrs. Iyer,45,Retired,$30k-$50k,2,Single,Retirement Savings,"Owns a car, travels frequently"
Sneha,52,Self-Employed,$15k-$30k,4,Single,Tax Saving,Prefers homeopathic treatment
Sunita,57,Business Owner,$30k-$50k,3,Married w/ Kids,Wealth Creation,Lives in joint family
Ankit,50,Business Owner,$15k-$30k,1,Married w/ Kids,Health Coverage,"Owns a car, travels frequently"
Mrs. Iyer,22,Business Owner,$100k+,3,Divorced,Wealth Creation,Lives in joint family
Ankit,47,Retired,$75k-$100k,5,Divorced,Tax Saving,"Frequent flyer, international travel"
Mr. Dutta,40,Business Owner,$30k-$50k,3,Married w/ Kids,Child Education Fund,"Sedentary lifestyle, chronic illness"
Sunita,54,Salaried,$75k-$100k,5,Married w/ Spouse,Tax Saving,"Owns property, no liabilities"
Ankit,51,Retired,$15k-$30k,2,Divorced,Health Coverage,"Smoker, high stress job"
Mrs. Iyer,61,Business Owner,$15k-$30k,2,Married w/ Kids,Child Education Fund,"Pet owner, active lifestyle"
Sunita,38,Business Owner,$15k-$30k,4,Married w/ Spouse,Retirement Savings,"Sedentary lifestyle, chronic illness"
Riya,58,Retired,$75k-$100k,3,Single,Wealth Creation,Prefers homeopathic treatment
Rahul,51,Salaried,$50k-$75k,2,Married w/ Kids,Wealth Creation,"Owns a car, travels frequently"
